num_neighbors,to_normalize,point,time,m_over_q,fcv1_in,gas_balzer_1,gas_balzer_2,gas_balzer_5,gas_balzer_6,gas_balzer_7,gas_name_1,gas_name_2,gas_name_5,gas_name_6,gas_name_7,inj_i,ext_i,mid_i,sext_i,inj_v,ext_v,mid_v,sext_v,inj_ps_v,ext_ps_v,mid_ps_v,sext_ps_v,inj_mbar,ext_mbar,bias_v,bias_i,k18_fw,k18_ref,g28_fw,glaser_1,batman_i,batman_field,x_ray_source,x_ray_exit,extraction_v,extraction_i,puller_v,puller_i,puller_raw_gap,bl_mig2_torr,robin_i,ht_oven_v,ht_oven_i,lt_oven_1_sp,lt_oven_2_sp,lt_oven_1_temp,lt_oven_2_temp,LHe_psi,LHe_level_percent,cryo_vac_torr,four_k_heater_power,four_k_cold_mass,four_k_cryo_e,four_k_cryo_w,four_k_cryo_ne,four_k_cryo_nw,four_k_heat_cond,four_k_i_feedthrough,four_k_heater_k,fifty_k_cond_bar,fifty_k_cond_bar_ne,fifty_k_cond_bar_nw,fifty_k_shield_bot,bottom_ln_vessel,seventy_k_cond_bar,gas_balzer_1_set,gas_balzer_2_set,gas_balzer_5_set,gas_balzer_6_set,gas_balzer_7_set,inj_i_set,ext_i_set,mid_i_set,sext_i_set,k18_fw_set,g28_req_set,glaser_1_set,batman_i_set,extraction_v_set,puller_v_set,robin_i_set,fcv1_i_normalized,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N,Label,MSE,MAE,MAPE,N
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agg,9.489588654298646e-09,6.002119581611707e-05,18.48504598802934,1378966,watch_data_00_processed,7.151514080344401e-09,6.513852534060848e-05,16.805046089921444,221760,watch_data_01_processed,3.862198026230107e-09,4.674102601003934e-05,14.41414914559955,49140,watch_data_03_processed,9.67396801860494e-09,6.106388479821803e-05,55.399492539517844,44520,watch_data_04_processed,1.7622467305157315e-08,7.81309482528357e-05,53.789374601139016,14576,watch_data_05_processed,1.0499306962239751e-08,8.800747157777778e-05,28.673678669762865,31500,watch_data_06_processed,2.2462511063406256e-08,9.939046004170031e-05,24.657618852947266,74340,watch_data_08a_processed,1.879189862535587e-09,3.0324178371325068e-05,10.978790213716048,103970,watch_data_08b_processed,2.8588086245048327e-09,3.221964518305662e-05,12.258599991547367,109620,watch_data_08c_processed,7.811639085684401e-10,2.0642523366013068e-05,6.277530703779359,171360,watch_data_08d_processed,1.0114908189556728e-09,2.366331766419505e-05,7.691329382439904,268380,watch_data_09_processed,9.536266038670395e-10,2.4682640917929682e-05,9.744632122283594,39060,watch_data_10a_processed,4.5154745806273726e-08,0.00018026034157552165,28.660007791235547,66780,watch_data_10_processed,2.3571385486166068e-08,0.0001417238440445067,32.082839711590374,21420,watch_data_11b_processed,3.138687299474492e-08,0.00013624225786477935,47.707711831388885,122220,watch_data_11_processed,7.792637747866184e-09,6.807942747189154e-05,15.644920933529537,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,agg,1.0212044487349335e-08,6.235924908628663e-05,21.309487503774026,1378966,watch_data_00_processed,8.915438432342754e-09,6.755170733901515e-05,17.94132687549759,221760,watch_data_01_processed,4.057177493366494e-09,4.722950599850767e-05,15.035346914824904,49140,watch_data_03_processed,2.0843979769312884e-08,9.20656057296346e-05,88.10541396225715,44520,watch_data_04_processed,5.558427952862462e-08,0.00019066940042535675,163.44883903666462,14576,watch_data_05_processed,1.0495079903932876e-08,8.649736978835979e-05,28.672080941320043,31500,watch_data_06_processed,1.1115933463791094e-08,7.004716192224913e-05,17.834021621564105,74340,watch_data_08a_processed,2.971945780106598e-09,3.560044828187618e-05,13.597546653074485,103970,watch_data_08b_processed,2.783975550619907e-09,3.508820685367634e-05,14.451408584362865,109620,watch_data_08c_processed,9.822817640681543e-10,2.2549516716160914e-05,7.327648197737623,171360,watch_data_08d_processed,1.3779097263785335e-09,2.653483483630673e-05,9.240692179434225,268380,watch_data_09_processed,1.1149736533945137e-09,2.600860325023895e-05,9.861555024141566,39060,watch_data_10a_processed,5.081974953876681e-08,0.00018866688917939503,29.89039312922826,66780,watch_data_10_processed,2.2731316221065893e-08,0.00013965664884998445,31.575275194538037,21420,watch_data_11b_processed,2.9814389119853e-08,0.0001320825201399116,47.01813209812253,122220,watch_data_11_processed,7.194143514229143e-09,6.441802293402777e-05,14.780846639295309,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,1.0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,agg,9.19915787100057e-09,6.131166936143169e-05,19.676483884208185,1378966,watch_data_00_processed,6.22048097647046e-09,6.0365642331499515e-05,16.015558512700665,221760,watch_data_01_processed,7.153523755794997e-09,7.045299439424773e-05,25.108482977414333,49140,watch_data_03_processed,8.776912863367127e-09,6.819280212226714e-05,36.00058272923668,44520,watch_data_04_processed,2.325042188783057e-09,3.8513890619282833e-05,35.644750879211905,14576,watch_data_05_processed,8.735041838277465e-09,6.88949519925926e-05,23.32593448365567,31500,watch_data_06_processed,4.269465767915924e-09,5.102022326338445e-05,13.714961305267304,74340,watch_data_08a_processed,1.2252501112472078e-09,2.622481555673111e-05,10.847025333544744,103970,watch_data_08b_processed,2.0116453019583955e-09,3.310095837651279e-05,14.797090272297057,109620,watch_data_08c_processed,8.620096822261097e-10,2.2239073303548085e-05,7.531227954469009,171360,watch_data_08d_processed,1.3456356376579567e-09,2.534096757069206e-05,8.971134559014347,268380,watch_data_09_processed,1.2134962799694119e-09,2.565666166635091e-05,10.616957988325938,39060,watch_data_10a_processed,4.8625565647367553e-08,0.00018825374915443745,28.6624604708547,66780,watch_data_10_processed,1.7863928988860988e-08,0.00011885705477279801,26.068748433114685,21420,watch_data_11b_processed,3.5177755576910954e-08,0.00015874933981263297,64.01059769454183,122220,watch_data_11_processed,2.7373945126504718e-08,0.00014009403403852512,32.55278445582361,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agg,9.490139392479594e-09,6.0059038159800666e-05,18.521686790284782,1378966,watch_data_00_processed,7.152049968967693e-09,6.514170473695287e-05,16.806303073858533,221760,watch_data_01_processed,3.86343406873225e-09,4.675482904694072e-05,14.44133424347359,49140,watch_data_03_processed,9.673915537457255e-09,6.106272157943996e-05,55.396536545300535,44520,watch_data_04_processed,1.7626676064463177e-08,7.815164906238567e-05,53.79921167128321,14576,watch_data_05_processed,1.0500739866523374e-08,8.800878124761905e-05,28.67546223467145,31500,watch_data_06_processed,2.2463371109633145e-08,9.939599943054434e-05,24.65949947542889,74340,watch_data_08a_processed,1.8813496605674348e-09,3.0385668902568044e-05,11.06408684550349,103970,watch_data_08b_processed,2.861336255110878e-09,3.229301805601167e-05,12.340796284330716,109620,watch_data_08c_processed,7.852850889113958e-10,2.0713387907524125e-05,6.335618999834108,171360,watch_data_08d_processed,1.0146359423030082e-09,2.374084010786944e-05,7.755423698032791,268380,watch_data_09_processed,9.577090894157148e-10,2.480053823402458e-05,9.843230974443923,39060,watch_data_10a_processed,4.512585927905101e-08,0.0001802307876077668,28.6570857894266,66780,watch_data_10_processed,2.3571610490156704e-08,0.00014172385265950825,32.08208084010874,21420,watch_data_11b_processed,3.138764705660636e-08,0.00013623967362324773,47.707240530307764,122220,watch_data_11_processed,7.793382215640655e-09,6.808924989252646e-05,15.647089840321643,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agg,9.4910422649528e-09,6.006064731182712e-05,18.521983272367237,1378966,watch_data_00_processed,7.1526819182664904e-09,6.514034456033551e-05,16.80488629531222,221760,watch_data_01_processed,3.865336475334655e-09,4.674972681590015e-05,14.433991565485465,49140,watch_data_03_processed,9.6791916148564e-09,6.108077715371367e-05,55.40585815911334,44520,watch_data_04_processed,1.7628362640520842e-08,7.815604007500915e-05,53.814127453282076,14576,watch_data_05_processed,1.050260157919558e-08,8.800687412275133e-05,28.67217036309967,31500,watch_data_06_processed,2.2463049292292806e-08,9.938846016366246e-05,24.65692028526906,74340,watch_data_08a_processed,1.8817848600885346e-09,3.0392203925491324e-05,11.06224398032887,103970,watch_data_08b_processed,2.8617779349649648e-09,3.230297450221979e-05,12.344010324822142,109620,watch_data_08c_processed,7.830838374853323e-10,2.069423877781668e-05,6.325053895576562,171360,watch_data_08d_processed,1.0150784712623247e-09,2.3745511058759968e-05,7.7605900986563086,268380,watch_data_09_processed,9.611135340457176e-10,2.4860026080926778e-05,9.867062658495676,39060,watch_data_10a_processed,4.5139263997029227e-08,0.00018024829377278625,28.6614484542431,66780,watch_data_10_processed,2.357094781126834e-08,0.0001417200456598195,32.0803402216871,21420,watch_data_11b_processed,3.138707036640071e-08,0.00013623870907298317,47.706604614041645,122220,watch_data_11_processed,7.791857399836354e-09,6.807654497354497e-05,15.644679662261424,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agg,9.490727327622475e-09,6.00620996177578e-05,18.523997358563772,1378966,watch_data_00_processed,7.152147770820791e-09,6.514501638227513e-05,16.806811037427057,221760,watch_data_01_processed,3.860211660391771e-09,4.6755904008275676e-05,14.443486412297002,49140,watch_data_03_processed,9.675765734465302e-09,6.107017005877508e-05,55.39688175109478,44520,watch_data_04_processed,1.7620066370324786e-08,7.812597469584705e-05,53.81639214778387,14576,watch_data_05_processed,1.049588827078097e-08,8.798380715555556e-05,28.664687295867637,31500,watch_data_06_processed,2.2463060826351152e-08,9.939469564971752e-05,24.658548199998744,74340,watch_data_08a_processed,1.881457000032549e-09,3.0387129387323273e-05,11.068109753298403,103970,watch_data_08b_processed,2.8614370275298164e-09,3.230534051876178e-05,12.34871143438,109620,watch_data_08c_processed,7.858559078395334e-10,2.0711045927287583e-05,6.3336453214675,171360,watch_data_08d_processed,1.014843215494973e-09,2.374079609850461e-05,7.758595218246994,268380,watch_data_09_processed,9.593339903279277e-10,2.4839505658499746e-05,9.862340239201199,39060,watch_data_10a_processed,4.513782111052359e-08,0.00018023631493481083,28.65900546214224,66780,watch_data_10_processed,2.3571868391139432e-08,0.00014172399569249922,32.08208774672251,21420,watch_data_11b_processed,3.13881776769538e-08,0.00013624963819805816,47.710344920343886,122220,watch_data_11_processed,7.794100478893571e-09,6.809319443617724e-05,15.648554995667721,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agg,9.490904107903383e-09,6.007215185262073e-05,18.5345720201986,1378966,watch_data_00_processed,7.149591223254144e-09,6.512964331709956e-05,16.80171146368706,221760,watch_data_01_processed,3.860998094759899e-09,4.6715687946682946e-05,14.427187529335358,49140,watch_data_03_processed,9.675407227572196e-09,6.105190862571129e-05,55.39701346512338,44520,watch_data_04_processed,1.7623427997450423e-08,7.814268621020855e-05,53.82259783865639,14576,watch_data_05_processed,1.0495208850057001e-08,8.798897892169314e-05,28.665671678750314,31500,watch_data_06_processed,2.2462675959811314e-08,9.94021248937315e-05,24.66388696968912,74340,watch_data_08a_processed,1.8813815604087715e-09,3.040635388541566e-05,11.096111473889355,103970,watch_data_08b_processed,2.861761530345045e-09,3.2324650458857875e-05,12.378859702020337,109620,watch_data_08c_processed,7.851038368885864e-10,2.0732662358387797e-05,6.349263299289956,171360,watch_data_08d_processed,1.0163213690449581e-09,2.3774822091127008e-05,7.781092710292035,268380,watch_data_09_processed,9.620692044715694e-10,2.491530895769756e-05,9.90718327528068,39060,watch_data_10a_processed,4.514629892627809e-08,0.00018024249370340425,28.66096225416806,66780,watch_data_10_processed,2.35749564356468e-08,0.0001417338826065982,32.084202459150355,21420,watch_data_11b_processed,3.1386083687376565e-08,0.0001362375562911144,47.703426432555155,122220,watch_data_11_processed,7.794355388650074e-09,6.809421163194445e-05,15.647993697856636,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agg,8.718313421947816e-09,5.735272784763826e-05,17.69162974037235,1378966,watch_data_00_processed,5.227409854007601e-09,5.509060822916666e-05,14.581334576032248,221760,watch_data_01_processed,7.125532016162742e-09,7.101053531135531e-05,25.184209698989967,49140,watch_data_03_processed,6.506056170921686e-09,5.885997156671159e-05,25.686099071295626,44520,watch_data_04_processed,1.678861848482862e-09,2.9875647244328576e-05,25.72460781245191,14576,watch_data_05_processed,9.41072734846336e-09,7.38987614e-05,23.83353194343917,31500,watch_data_06_processed,3.852513873387611e-09,4.9331511259079905e-05,13.432085740703887,74340,watch_data_08a_processed,7.300085909635441e-10,2.0515935322048032e-05,8.469318571572195,103970,watch_data_08b_processed,1.2823689779750916e-09,2.267329860244481e-05,9.621858128728574,109620,watch_data_08c_processed,6.450623817946873e-10,1.8749187551742918e-05,6.173144675770638,171360,watch_data_08d_processed,1.2385990988979743e-09,2.3000254305037633e-05,8.071130231603703,268380,watch_data_09_processed,7.532971539218117e-10,2.0298957908883766e-05,9.319074912601396,39060,watch_data_10a_processed,5.191980795466698e-08,0.00019419566532628534,29.465763701541466,66780,watch_data_10_processed,2.022303436991107e-08,0.0001284328241425459,28.792887574548047,21420,watch_data_11b_processed,3.459496279414442e-08,0.00015593070556019198,60.86462407603016,122220,watch_data_11_processed,1.9803981211066972e-08,0.00011795084952794312,27.545501895152746,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agg,7.673728340134018e-09,5.302403984971906e-05,15.510454807641583,1378966,watch_data_00_processed,5.253566618274279e-09,5.526659127735691e-05,14.71406909277711,221760,watch_data_01_processed,3.1455572831222436e-09,4.355010551214218e-05,13.001429856236395,49140,watch_data_03_processed,2.828789504129521e-09,3.6712528564315665e-05,19.94448637407705,44520,watch_data_04_processed,1.840569335157766e-09,3.018740986324552e-05,24.875514851645914,14576,watch_data_05_processed,8.552292362556708e-09,7.631770876402117e-05,23.87755140399005,31500,watch_data_06_processed,4.466382781717207e-09,4.963536299897768e-05,13.298375543426916,74340,watch_data_08a_processed,1.6745841473930759e-09,2.8438551496264947e-05,10.166886068134898,103970,watch_data_08b_processed,1.7558528100192836e-09,2.6603526331873744e-05,10.416255878994145,109620,watch_data_08c_processed,7.524784204877544e-10,2.023523619203237e-05,6.240764597227415,171360,watch_data_08d_processed,8.57956245749174e-10,2.2158616847725866e-05,7.186630966711922,268380,watch_data_09_processed,9.241977866563759e-10,2.389925270577744e-05,8.990036048572023,39060,watch_data_10a_processed,4.7595665333399626e-08,0.00018391187393730662,29.187312399495852,66780,watch_data_10_processed,2.18941704274093e-08,0.00013473881368502956,30.02287883182227,21420,watch_data_11b_processed,3.1012372452435594e-08,0.00013470517427507773,46.95249839102319,122220,watch_data_11_processed,7.648408158305837e-09,6.700487448743385e-05,15.285192260382669,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agg,9.489335981642941e-09,6.00207024486712e-05,18.48484471146885,1378966,watch_data_00_processed,7.151522279008739e-09,6.51387270436508e-05,16.80509397207221,221760,watch_data_01_processed,3.86194037211776e-09,4.673889896011396e-05,14.413557534692073,49140,watch_data_03_processed,9.673937305845471e-09,6.106391981469003e-05,55.39916438846543,44520,watch_data_04_processed,1.762247162893444e-08,7.813077033479693e-05,53.78927748212756,14576,watch_data_05_processed,1.0499418425460475e-08,8.800915224444445e-05,28.674208816093245,31500,watch_data_06_processed,2.2462473561116964e-08,9.939011378127522e-05,24.65746246068219,74340,watch_data_08a_processed,1.879325025937925e-09,3.0326042625116216e-05,10.980305386558216,103970,watch_data_08b_processed,2.858352385350732e-09,3.220838569026333e-05,12.250979613960181,109620,watch_data_08c_processed,7.812849942371196e-10,2.064629016923436e-05,6.28064922225884,171360,watch_data_08d_processed,1.0113406654005404e-09,2.3660657618488704e-05,7.689723097965438,268380,watch_data_09_processed,9.536635978424509e-10,2.468661387150538e-05,9.749776482412525,39060,watch_data_10a_processed,4.515065382092901e-08,0.00018026558798163122,28.66194026333777,66780,watch_data_10_processed,2.3570944286231357e-08,0.00014172246620136944,32.08260473716603,21420,watch_data_11b_processed,3.1386876811189374e-08,0.00013624215142284406,47.70772811800425,122220,watch_data_11_processed,7.792620583799071e-09,6.807940609292328e-05,15.644906631535422,40320
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,agg,1.0286275693598843e-08,6.264037160432454e-05,21.377623118986982,1378966,watch_data_00_processed,8.914113885500106e-09,6.755274802925084e-05,17.94048425888348,221760,watch_data_01_processed,4.056640228230626e-09,4.719830380477547e-05,15.008133539982143,49140,watch_data_03_processed,2.084988660947825e-08,9.207472782831688e-05,88.13918679226077,44520,watch_data_04_processed,5.560023316713649e-08,0.00019072799925219538,163.48307051642752,14576,watch_data_05_processed,1.0490573680499714e-08,8.646837703703703e-05,28.6589323546653,31500,watch_data_06_processed,1.1123449322043102e-08,7.007270851807013e-05,17.84112187680283,74340,watch_data_08a_processed,3.6068596708251702e-09,3.830333151518065e-05,14.405468547805059,103970,watch_data_08b_processed,3.03466076069042e-09,3.600911398315393e-05,14.677274019826916,109620,watch_data_08c_processed,9.772013159731162e-10,2.247151974117647e-05,7.2682807014129365,171360,watch_data_08d_processed,1.379103135260443e-09,2.6519455384194056e-05,9.21538749860759,268380,watch_data_09_processed,1.1154782283655829e-09,2.6017308830542755e-05,9.851673209885577,39060,watch_data_10a_processed,5.0815830007763436e-08,0.0001886457650499151,29.883075970787814,66780,watch_data_10_processed,2.322135341649877e-08,0.0001409725389542484,31.80957160641002,21420,watch_data_11b_processed,2.9799173737608364e-08,0.00013202181073064965,46.99295782873653,122220,watch_data_11_processed,7.204892524346711e-09,6.448110401041666e-05,14.793319686903239,40320
